Millis,PicoTemp Temp (C),ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),BME688 Temp (C),BME688 Pressure,BME688 Rel Hum (%),BME688 Gas Resistance,Geiger CPS,Geiger Dose (uSv/hr),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),AnalogTemp ADC_Read
267,,-1.3742717504501343,-0.24899697303771973,9.653421401977539,0.04150478169322014,0.08833068609237671,-0.08567012846469879,31.350000381469727,39.150001525878906,110.55000305175781,29.53026580810547,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,,-1.6280571222305298,-0.23942017555236816,9.567230224609375,0.047890130430459976,0.001064225216396153,-0.021816615015268326,31.350000381469727,38.70000076293945,110.55000305175781,30.153263092041016,,,,,,,29.2421875,28.458065032958984,97002,14.902521133422852,5684,0.0,0.0,0.0,0.0,0.0,,,,,,,32.03125,31.8799991607666,16.18000030517578,,
1677,24.329635620117188,-2.145204782485962,-0.2059013396501541,9.77791976928711,-0.30330419540405273,-0.21763405203819275,-0.01489915233105421,37.650001525878906,37.95000076293945,105.9000015258789,30.249109268188477,2026,3,28,9,0,41,29.25,28.523595809936523,97003,14.870245933532715,5684,,,0.0,0.0,0.0,,,,,,,32.03125,31.65999984741211,16.100000381469727,,
2677,,-2.6862943172454834,-0.8092401623725891,9.691728591918945,-0.19901010394096375,-0.4209010601043701,0.1207895576953888,39.900001525878906,34.95000076293945,105.1500015258789,30.39287757873535,,,,,,,29.25,28.569595336914062,97003,14.806757926940918,5684,0.0,0.0,0.0,0.0,0.0,,,,,,,31.8671875,31.40999984741211,16.190000534057617,,
3575,26.202177047729492,-1.6280571222305298,0.40222588181495667,9.81143856048584,0.0026605629827827215,-0.12770701944828033,-0.11706477403640747,37.650001525878906,34.95000076293945,106.94999694824219,30.057416915893555,2026,3,28,9,0,43,29.2578125,28.621261596679688,97002,14.758698463439941,5684,,,0.0,0.0,0.0,,,,,,,31.5546875,31.420000076293945,16.25,,
4474,,-1.5945383310317993,0.7709329724311829,9.634267807006836,0.0005321126081980765,-0.02075239084661007,-0.06704618781805038,35.400001525878906,36.75,107.69999694824219,30.39287757873535,,,,,,,29.25,28.668203353881836,97003,14.705379486083984,5684,0.5567928552627563,0.1904231607913971,0.0,0.0,0.0,,,,,,,31.5546875,31.43000030517578,16.31999969482422,,
5472,26.202177047729492,-1.1300631761550903,0.7613561153411865,9.715670585632324,0.0691746324300766,-0.09152336418628693,-0.20220278203487396,34.349998474121094,32.54999923706055,109.5,30.39287757873535,2026,3,28,9,0,45,29.2578125,28.69057273864746,97003,14.645889282226562,6467,0.0,0.0,0.0,0.0,0.0,,,,,,,31.5546875,31.469999313354492,16.389999389648438,,
6371,,-0.5793967843055725,0.7805097699165344,9.77791976928711,0.009578026831150055,0.03618365526199341,-0.02288084104657173,32.54999923706055,33.0,111.5999984741211,30.344955444335938,,,,,,,29.25,28.720504760742188,97003,14.596856117248535,7344,,,0.0,0.0,0.0,,,,,,,31.5625,31.389999389648438,16.420000076293945,,
7268,26.67032241821289,-0.4405331015586853,0.8523358106613159,9.768342971801758,-0.019688164815306664,-0.046293795108795166,-0.17878982424736023,33.599998474121094,32.25,110.8499984741211,30.536645889282227,2026,3,28,9,0,46,29.25,28.746023178100586,97003,14.567790031433105,8376,0.0,0.0,0.0,0.0,0.0,,,,,,,31.4921875,31.389999389648438,16.5,,
8167,,-0.2777273952960968,1.0199298858642578,9.658209800720215,0.047890130430459976,-0.05746815726161003,-0.034055206924676895,32.70000076293945,31.950000762939453,112.19999694824219,30.39287757873535,,,,,,,29.25,28.76650047302246,97002,14.528421401977539,9445,,,0.0,0.0,0.0,,,,,,,31.3828125,31.350000381469727,16.510000228881836,,
9165,26.202177047729492,-0.12449848651885986,1.4939818382263184,9.648633003234863,-0.011706477031111717,0.016495490446686745,0.04522957280278206,32.099998474121094,32.54999923706055,112.3499984741211,30.6804141998291,2026,3,28,9,0,48,29.2578125,28.76776123046875,97002,14.513361930847168,10505,0.0,0.0,0.0,0.0,0.0,,,,,,,31.3671875,31.34000015258789,16.579999923706055,,
10065,,0.09576806426048279,1.1300631761550903,9.911994934082031,0.10589040815830231,0.056403931230306625,-0.019688164815306664,32.099998474121094,32.54999923706055,110.25,30.39287757873535,,,,,,,29.2578125,28.7816219329834,97002,14.488814353942871,11640,,,0.0,0.0,0.0,,,,,,,31.3671875,31.34000015258789,16.6200008392334,,
10962,26.67032241821289,-0.5650315880775452,1.115697979927063,9.533711433410645,-0.08513801544904709,-0.08833068609237671,-0.2277441769838333,33.599998474121094,34.04999923706055,109.80000305175781,30.344955444335938,2026,3,28,9,0,50,29.265625,28.794225692749023,97003,14.449102401733398,12981,0.5567928552627563,0.1904231607913971,0.0,0.0,0.0,,,,,,,31.3671875,31.3700008392334,16.670000076293945,,
11861,,-0.4692635238170624,1.0630255937576294,9.706093788146973,0.052679143846035004,-0.03777999430894852,-0.012770702131092548,33.45000076293945,31.950000762939453,111.75,30.057416915893555,,,,,,,29.265625,28.8049373626709,97003,14.429452896118164,14143,,,0.0,0.0,0.0,,,,,,,31.375,31.200000762939453,16.729999542236328,,
