time,lasttime,lat,lng,speed,course,altitude,comment
2026-03-28 16:10:11,2026-03-28 16:10:11,32.87500,-112.05483,43,297,744.93,""
2026-03-28 16:10:41,2026-03-28 16:10:41,32.87550,-112.05733,26,312,969.87,""
2026-03-28 16:11:11,2026-03-28 16:11:11,32.87717,-112.05983,39,312,1170.74,""
2026-03-28 16:11:41,2026-03-28 16:11:41,32.87933,-112.06300,43,305,1367.64,""
2026-03-28 16:12:11,2026-03-28 16:12:11,32.88083,-112.06500,19,285,1570.63,""
2026-03-28 16:12:41,2026-03-28 16:12:41,32.88133,-112.06683,17,279,1774.85,""
2026-03-28 16:13:11,2026-03-28 16:13:11,32.88083,-112.06750,11,82,1985.77,""
2026-03-28 16:13:41,2026-03-28 16:13:41,32.88000,-112.06717,9,197,2191.82,""
2026-03-28 16:14:11,2026-03-28 16:14:11,32.87883,-112.06633,30,136,2396.64,""
2026-03-28 16:16:11,2026-03-28 16:16:11,32.87717,-112.05850,35,53,3223.56,""
2026-03-28 16:16:41,2026-03-28 16:16:41,32.87767,-112.05583,30,96,3427.78,""
2026-03-28 16:17:11,2026-03-28 16:17:11,32.87767,-112.05350,37,104,3636.57,""
2026-03-28 16:17:41,2026-03-28 16:17:41,32.87783,-112.05050,26,77,3847.49,""
2026-03-28 16:18:11,2026-03-28 16:18:11,32.87800,-112.04733,46,80,4054.45,""
2026-03-28 16:18:41,2026-03-28 16:18:41,32.87833,-112.04433,41,91,4265.68,""
2026-03-28 16:19:11,2026-03-28 16:19:11,32.87883,-112.04167,31,78,4475.68,""
2026-03-28 16:19:41,2026-03-28 16:19:41,32.87983,-112.03917,24,49,4683.56,""
2026-03-28 16:20:11,2026-03-28 16:20:11,32.88150,-112.03650,37,27,4915.51,""
2026-03-28 16:20:41,2026-03-28 16:20:41,32.88350,-112.03417,39,45,5147.46,""
2026-03-28 16:21:11,2026-03-28 16:21:11,32.88600,-112.03167,50,27,5386.43,""
2026-03-28 16:21:41,2026-03-28 16:21:41,32.88900,-112.02933,41,12,5617.46,""
2026-03-28 16:23:40,2026-03-28 16:23:40,32.90500,-112.01767,57,34,6498.34,""
2026-03-28 16:24:11,2026-03-28 16:24:11,32.90933,-112.01400,61,33,6715.35,""
2026-03-28 16:24:41,2026-03-28 16:24:41,32.91283,-112.01017,69,32,6923.53,""
2026-03-28 16:25:11,2026-03-28 16:25:11,32.91600,-112.00600,46,50,7154.27,""
2026-03-28 16:25:41,2026-03-28 16:25:41,32.91900,-112.00167,57,47,7384.39,""
2026-03-28 16:29:11,2026-03-28 16:29:11,32.93383,-111.97450,44,55,8985.20,""
2026-03-28 16:29:41,2026-03-28 16:29:41,32.93633,-111.97217,54,24,9229.34,""
2026-03-28 16:30:11,2026-03-28 16:30:11,32.93967,-111.96900,33,28,9476.23,""
2026-03-28 16:30:41,2026-03-28 16:30:41,32.94317,-111.96667,70,15,9705.14,""
2026-03-28 16:31:11,2026-03-28 16:31:11,32.94650,-111.96383,50,43,9955.38,""
2026-03-28 16:31:41,2026-03-28 16:31:41,32.95017,-111.96100,74,22,10207.14,""
2026-03-28 16:32:41,2026-03-28 16:32:41,32.95850,-111.95533,83,33,10718.29,""
2026-03-28 16:33:11,2026-03-28 16:33:11,32.96350,-111.95200,78,20,10975.24,""
2026-03-28 16:33:41,2026-03-28 16:33:41,32.96883,-111.94867,81,39,11229.14,""
2026-03-28 16:34:11,2026-03-28 16:34:11,32.97517,-111.94533,100,19,11493.09,""
2026-03-28 16:34:41,2026-03-28 16:34:41,32.98167,-111.94267,107,14,11764.06,""
2026-03-28 16:35:11,2026-03-28 16:35:11,32.98783,-111.94000,69,19,12028.02,""
