sep=;
Time;Timestamp;Event;Count Rate, cps;Dose rate, R/h;Dose Rate Error, %;Dose Rate Alarm;Dose Alarm;Duration of dose accumulation, sec.;Dose, R;Temperature;Latitude;Longitude;Comment
2026-03-24 06:02:41.342;134188057613420000;;25.225225;4.7965055E-5;9.9;0;0;;;;;;
2026-03-24 06:03:36.592;134188058165920000;;24.333334;4.576075E-5;9.9;0;0;;;;;;
2026-03-24 06:04:42.092;134188058820920000;;24.75;5.3283693E-5;24.6;0;0;;;;;;
2026-03-24 06:04:51.592;134188058915920000;;24.55;3.9746094E-5;24.6;0;0;;;;;;
2026-03-24 06:04:52.592;134188058925920000;;6.8;1.0281459E-5;23.5;0;0;;;;;;
2026-03-24 06:06:02.092;134188059620920000;;6.242857;8.246024E-6;23.5;0;0;;;;;;
2026-03-24 06:08:00.092;134188060800920000;;6.0833335;8.494568E-6;28.1;0;0;;;;;;
2026-03-24 06:09:36.092;134188061760920000;;5.7083335;9.108479E-6;27.2;0;0;;;;;;
2026-03-24 06:11:12.086;134188062720860000;;6.0520835;9.579976E-6;27.3;0;0;;;;;;
2026-03-24 06:12:48.084;134188063680840000;;6.46875;1.1001587E-5;25.1;0;0;;;;;;
2026-03-24 06:14:24.082;134188064640820000;;5.6770835;7.64974E-6;29.0;0;0;;;;;;
2026-03-24 06:16:00.070;134188065600700000;;6.4270835;1.1179098E-5;25.9;0;0;;;;;;
2026-03-24 06:17:36.053;134188066560530000;;6.1666665;7.250468E-6;31.2;0;0;;;;;;
2026-03-24 06:19:12.059;134188067520590000;;6.3645835;1.0354106E-5;26.9;0;0;;;;;;
2026-03-24 06:20:48.040;134188068480400000;;6.375;1.0470072E-5;28.3;0;0;;;;;;
2026-03-24 06:22:24.046;134188069440460000;;5.8125;1.0942078E-5;27.0;0;0;;;;;;
2026-03-24 06:22:52.433;134188069724330000;;;;;0;0;397830;0.0022;25.8;;;
2026-03-24 06:23:52.436;134188070324360000;;;;;0;0;397890;0.002201;25.9;;;
2026-03-24 06:24:00.033;134188070400330000;;5.8229165;7.69043E-6;29.8;0;0;;;;;;
2026-03-24 06:24:52.423;134188070924230000;;;;;0;0;397950;0.002201;26.1;;;
2026-03-24 06:25:36.021;134188071360210000;;5.9375;8.899943E-6;26.7;0;0;;;;;;
2026-03-24 06:25:52.423;134188071524230000;;;;;0;0;398010;0.002201;26.3;;;
2026-03-24 06:26:52.421;134188072124210000;;;;;0;0;398070;0.002201;26.4;;;
2026-03-24 06:27:12.005;134188072320050000;;5.7604165;7.5098674E-6;28.4;0;0;;;;;;
2026-03-24 06:28:48.004;134188073280040000;;6.0208335;7.695516E-6;25.2;0;0;;;;;;
2026-03-24 06:30:23.991;134188074239910000;;6.0833335;8.759562E-6;28.1;0;0;;;;;;
2026-03-24 06:31:52.391;134188075123910000;;;;;0;0;398370;0.002202;26.2;;;
2026-03-24 06:31:59.988;134188075199880000;;6.34375;9.6934E-6;27.4;0;0;;;;;;
2026-03-24 06:33:35.977;134188076159770000;;6.71875;1.268514E-5;26.1;0;0;;;;;;
2026-03-24 06:33:52.373;134188076323730000;;;;;0;0;398490;0.002202;26.1;;;
2026-03-24 06:35:11.978;134188077119780000;;6.0208335;9.442138E-6;26.5;0;0;;;;;;
2026-03-24 06:36:47.967;134188078079670000;;6.1770835;8.347066E-6;29.8;0;0;;;;;;
2026-03-24 06:36:52.378;134188078123780000;;;;;0;0;398670;0.002203;26.0;;;
2026-03-24 06:38:23.954;134188079039540000;;6.3020835;9.178161E-6;27.2;0;0;;;;;;
2026-03-24 06:39:52.354;134188079923540000;;;;;0;0;398850;0.002203;25.9;;;
2026-03-24 06:39:59.954;134188079999540000;;5.9583335;9.893291E-6;26.8;0;0;;;;;;
2026-03-24 06:41:35.942;134188080959420000;;5.7916665;8.000183E-6;28.9;0;0;;;;;;
2026-03-24 06:43:11.932;134188081919320000;;5.9375;1.0190328E-5;29.3;0;0;;;;;;
2026-03-24 06:44:47.923;134188082879230000;;5.71875;1.0233562E-5;30.0;0;0;;;;;;
2026-03-24 06:44:52.336;134188082923360000;;;;;0;0;399150;0.002204;25.8;;;
2026-03-24 06:46:23.917;134188083839170000;;6.4479165;9.3617755E-6;29.3;0;0;;;;;;
2026-03-24 06:47:59.908;134188084799080000;;6.1666665;7.870483E-6;29.8;0;0;;;;;;
2026-03-24 06:49:35.911;134188085759110000;;5.9375;8.006286E-6;27.5;0;0;;;;;;
2026-03-24 06:51:11.902;134188086719020000;;6.2395835;8.3979285E-6;25.9;0;0;;;;;;
2026-03-24 06:52:47.897;134188087678970000;;6.2916665;9.918722E-6;28.7;0;0;;;;;;
2026-03-24 06:52:52.303;134188087723030000;;;;;0;0;399630;0.002205;25.7;;;
2026-03-24 06:54:23.888;134188088638880000;;6.40625;8.648682E-6;25.0;0;0;;;;;;
2026-03-28 22:03:50.457;134192090304570000;;21.614584;9.46111E-5;12.4;0;0;;;;;;
2026-03-28 22:04:38.957;134192090789570000;;39.0;2.5498046E-4;78.0;0;0;;;;;;
