,Time,Timestamp,Event,"Count Rate, cps","Dose rate, R/h","Dose Rate Error, %",Dose Rate Alarm,Dose Alarm,"Duration of dose accumulation, sec.","Dose, R",Temperature,Latitude,Longitude,Comment
47,2026-03-28 09:33:50.457,134192090304570000,,21.614584,9.46111e-05,12.4,0,0,,,,,,
48,2026-03-28 09:34:38.957,134192090789570000,,39.0,0.00025498046,78.0,0,0,,,,,,
49,2026-03-28 09:34:48.857,134192090888570000,,,,,0,0,420634.0,0.002349,-10.7,,,
50,2026-03-28 09:35:27.457,134192091274570000,,24.177084,9.628906e-05,12.1,0,0,,,,,,
51,2026-03-28 09:35:48.857,134192091488570000,,,,,0,0,420694.0,0.002351,-13.2,,,
52,2026-03-28 09:36:48.857,134192092088570000,,,,,0,0,420754.0,0.002353,-15.6,,,
53,2026-03-28 09:37:03.457,134192092234570000,,26.458334,0.00010582072,11.5,0,0,,,,,,
54,2026-03-28 09:37:48.857,134192092688570000,,,,,0,0,420814.0,0.002354,-17.9,,,
55,2026-03-28 09:38:15.457,134192092954570000,,29.296875,0.000114697774,7.6,0,0,,,,,,
56,2026-03-28 09:38:48.857,134192093288570000,,,,,0,0,420874.0,0.002356,-19.9,,,
57,2026-03-28 09:38:52.187,134192093321870000,The temperature is too low,,,,0,0,,,-20.0,,,
58,2026-03-28 09:39:27.457,134192093674570000,,30.401041,0.0001202296,7.6,0,0,,,,,,
59,2026-03-28 09:39:48.857,134192093888570000,,,,,0,0,420934.0,0.002358,-21.7,,,
60,2026-03-28 09:40:48.857,134192094488570000,,,,,0,0,420994.0,0.00236,-23.4,,,
61,2026-03-28 09:41:48.857,134192095088570000,,,,,0,0,421054.0,0.002362,-24.9,,,
62,2026-03-28 09:41:51.457,134192095114570000,,33.322918,0.00012264505,10.7,0,0,,,,,,
63,2026-03-28 09:42:48.857,134192095688570000,,,,,0,0,421114.0,0.002364,-26.3,,,
64,2026-03-28 09:42:49.457,134192095694570000,,38.05,0.00017932129,19.6,0,0,,,,,,
65,2026-03-28 09:42:58.457,134192095784570000,,36.3,0.00017162597,19.6,0,0,,,,,,
66,2026-03-28 09:43:00.457,134192095804570000,,31.791666,0.00012000122,20.9,0,0,,,,,,
67,2026-03-28 09:43:22.457,134192096024570000,,32.291668,0.00013623657,20.9,0,0,,,,,,
68,2026-03-28 09:43:24.457,134192096044570000,,40.25,0.00014848633,47.1,0,0,,,,,,
69,2026-03-28 09:43:27.337,134192096073370000,,28.25,0.0001045044,47.1,0,0,,,,,,
70,2026-03-28 09:43:27.575,134192096075750000,,122.0,0.00019970704,92.6,0,0,,,,,,
71,2026-03-28 09:43:27.705,134192096077050000,,122.0,0.00019970704,92.6,0,0,,,,,,
72,2026-03-28 09:43:28.075,134192096080750000,,56.0,0.0002810547,99.0,0,0,,,,,,
73,2026-03-28 09:43:28.455,134192096084550000,,41.0,0.00014599609,99.0,0,0,,,,,,
74,2026-03-28 09:43:29.455,134192096094550000,,14.0,4.5996094e-05,99.0,0,0,,,,,,
75,2026-03-28 09:43:30.075,134192096100750000,,44.4,0.00014324219,60.4,0,0,,,,,,
76,2026-03-28 09:43:32.205,134192096122050000,,44.4,0.0001496875,60.4,0,0,,,,,,
77,2026-03-28 09:43:32.705,134192096127050000,,24.0,5.218506e-05,57.0,0,0,,,,,,
78,2026-03-28 09:43:36.205,134192096162050000,,39.0,0.00018652344,57.0,0,0,,,,,,
79,2026-03-28 09:43:36.705,134192096167050000,,38.0,0.000109960936,86.9,0,0,,,,,,
80,2026-03-28 09:43:36.955,134192096169550000,,52.0,0.00019873047,86.9,0,0,,,,,,
81,2026-03-28 09:43:37.705,134192096177050000,,26.0,7.0898436e-06,67.0,0,0,,,,,,
82,2026-03-28 09:43:39.955,134192096199550000,,26.8,4.9248047e-05,67.0,0,0,,,,,,
83,2026-03-28 09:43:43.705,134192096237050000,,33.05,0.0001368037,9.8,0,0,,,,,,
84,2026-03-28 09:43:48.857,134192096288570000,,,,,0,0,421174.0,0.002367,-27.6,,,
85,2026-03-28 09:44:32.455,134192096724550000,,35.98,0.00014229638,9.8,0,0,,,,,,
