Millis,PicoTemp Temp (C),ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),BME688 Temp (C),BME688 Pressure,BME688 Rel Hum (%),BME688 Gas Resistance,Geiger CPS,Geiger Dose (uSv/hr),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog ADC
268,,1.0007762908935547,-0.14365209639072418,9.691728591918945,-0.007981688715517521,0.005853238515555859,-0.018623940646648407,-11.699999809265137,11.699999809265137,81.44999694824219,25.983976364135742,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,,1.0295066833496094,-0.15801730751991272,9.605537414550781,-0.00691746361553669,0.008513801731169224,-0.023412954062223434,-7.949999809265137,12.149999618530273,79.3499984741211,26.319435119628906,,,,,,,25.4375,24.874448776245117,96892,18.24064826965332,18166,0.0,0.0,0.0,0.0,0.0,,,,,,,25.6640625,25.68000030517578,21.829999923706055,,558
1681,28.074718475341797,0.9959878921508789,-0.12928688526153564,9.639056205749512,0.0026605629827827215,0.006385351065546274,-0.02447717823088169,-9.899999618530273,12.899999618530273,79.6500015258789,26.559049606323242,2000,1,0,0,0,21,25.4375,24.937456130981445,96893,18.17709732055664,26561,,,0.0,0.0,0.0,,,,,,,25.65625,25.649999618530273,21.860000610351562,,574
2682,28.074718475341797,0.9672574996948242,-0.14365209639072418,9.47146224975586,-0.004256900865584612,0.003192675532773137,-0.019688164815306664,-8.699999809265137,10.949999809265137,78.9000015258789,26.798664093017578,2000,1,0,0,0,22,25.4453125,24.98345184326172,96893,18.11263084411621,33666,0.5257623791694641,0.17981073260307312,0.0,0.0,0.0,,,,,,,25.65625,25.649999618530273,21.829999923706055,,572
3583,,0.9624691009521484,-0.20111294090747833,9.50498104095459,0.0047890134155750275,-0.004256900865584612,-0.01915605366230011,-8.399999618530273,12.600000381469727,79.3499984741211,26.89451026916504,,,,,,,25.4375,25.033857345581055,96894,18.027833938598633,40238,,,0.0,0.0,0.0,,,,,,,25.6484375,25.6299991607666,21.829999923706055,,605
4482,28.542863845825195,1.0342950820922852,-0.1149216815829277,9.739612579345703,-0.0047890134155750275,0.004256900865584612,-0.018623940646648407,-9.149999618530273,12.149999618530273,79.3499984741211,26.798664093017578,2000,1,0,0,0,24,25.4453125,25.077333450317383,96894,17.968435287475586,45519,0.0,0.0,0.0,0.0,0.0,,,,,,,25.6484375,25.65999984741211,21.8700008392334,,570
5483,28.542863845825195,0.9816226959228516,-0.14365209639072418,9.75397777557373,0.0005321126081980765,0.007449576165527105,-0.017027603462338448,-12.449999809265137,11.699999809265137,79.6500015258789,26.89451026916504,2000,1,0,0,0,25,25.4453125,25.10001564025879,96894,17.90277671813965,50844,0.9990010261535645,0.341658353805542,0.0,0.0,0.0,,,,,,,25.640625,25.639999389648438,21.8799991607666,,569
6384,,0.9289502501487732,-0.11013327538967133,9.768342971801758,-0.0015963377663865685,-0.0005321126081980765,-0.021284503862261772,-10.800000190734863,11.550000190734863,80.55000305175781,27.038278579711914,,,,,,,25.4453125,25.12994384765625,96893,17.852968215942383,55113,,,0.0,0.0,0.0,,,,,,,25.6484375,25.639999389648438,21.889999389648438,,605
7282,28.542863845825195,0.9576807022094727,-0.10055647045373917,9.677363395690918,-0.00691746361553669,0.006385351065546274,-0.02075239084661007,-11.699999809265137,9.449999809265137,81.1500015258789,26.9903564453125,2000,1,0,0,0,26,25.453125,25.156723022460938,96894,17.797866821289062,58796,0.0,0.0,0.0,0.0,0.0,,,,,,,25.6484375,25.6299991607666,21.889999389648438,,574
8183,,0.9816226959228516,-0.12928688526153564,9.696516990661621,-0.0005321126081980765,0.0037247880827635527,-0.02234872803092003,-12.600000381469727,11.25,80.55000305175781,26.798664093017578,,,,,,,25.4453125,25.1784610748291,96894,17.76820182800293,62000,,,0.0,0.0,0.0,,,,,,,25.6484375,25.6299991607666,21.920000076293945,,598
